question_number,answer,difficulty,score,accuracy_rate,option1,option2,option3,option4,option5,subject,exam_date,exam_type,ocr_text_raw,ocr_text_clean,ocr_text_tokens,ocr_has_latex,question_type,math_category
1,5,하,2,0.91,0.02,0.02,0.02,0.03,0.91,확률과통계,2025-05-08,학력평가,"1. \( \left(3^{1-\sqrt{2}}\right)^{2} \times 9^{\sqrt{2}} \) 의 값은? [2점]
(1) \( \frac{1}{9} \)
(2) \( \frac{1}{3} \)
(3) 1
(4) 3
(5) 9",1. \( \left(3^{1-\sqrt{2}}\right)^{2} \times 9^{\sqrt{2}} \) 의 값은? [2점],"['1', '.', '\\left', '(', '3', '^', '{', '1', '-', '\\sqrt', '{', '2', '}', '}', '\\right', ')', '^', '{', '2', '}', '\\times', '9', '^', '{', '\\sqrt', '{', '2', '}', '}', '의', '값', '은', '?', '[', '2', '점', ']']",True,객관식,지수함수와 로그함수
2,1,하,2,0.91,0.91,0.02,0.02,0.04,0.02,확률과통계,2025-05-08,학력평가,"2. 함수 \( f(x)=x^{3}-2 x+5 \) 에 대하여 \( \lim _{h \rightarrow 0} \frac{f(1+h)-f(1)}{h} \) 의 값은?
[2점]
(1) 1
(2) 2
(3) 3
(4) 4
(5) 5","2. 함수 \( f(x)=x^{3}-2 x+5 \) 에 대하여 \( \lim _{h \rightarrow 0} \frac{f(1+h)-f(1)}{h} \) 의 값은?
[2점]","['2', '.', '함수', 'f', '(', 'x', ')', '=', 'x', '^', '{', '3', '}', '-', '2', 'x', '+', '5', '에', '대하', '여', '\\lim', '{', 'h', '\\rightarrow', '0', '}', '\\frac', '{', 'f', '(', '1', '+', 'h', ')', '-', 'f', '(', '1', ')', '}', '{', 'h', '}', '의', '값', '은', '?', '[', '2', '점', ']']",True,객관식,미분법
3,3,중하,3,0.86,0.02,0.03,0.86,0.06,0.02,확률과통계,2025-05-08,학력평가,"3. 첫째항과 공비가 모두 양수 \( k \) 인 등비수열 \( \left\{a_{n}\right\} \) 이
\[
a_{2}\left(k^{2}+1\right)=3 a_{4}
\]

를 만족시킬 때, \( a_{3} \) 의 값은? [3점]
(1) \( \frac{\sqrt{2}}{8} \)
(2) \( \frac{\sqrt{3}}{9} \)
(3) \( \frac{\sqrt{2}}{4} \)
(4) \( \frac{\sqrt{3}}{3} \)
(5) \( \frac{\sqrt{3}}{2} \)","3. 첫째항과 공비가 모두 양수 \( k \) 인 등비수열 \( \left\{a_{n}\right\} \) 이
\[
a_{2}\left(k^{2}+1\right)=3 a_{4}
\]

를 만족시킬 때, \( a_{3} \) 의 값은? [3점]","['3', '.', '첫째', '항', '과', '공비', '가', '모두', '양수', 'k', '인', '등비수열', '\\left', '{', 'a', '{', 'n', '}', '\\right', '}', '이', '\\[', 'a', '_{', '2', '}\\', 'left', '(', 'k', '^{', '2', '}+', '1', '\\', 'right', ')', '=', '3', 'a', '_{', '4', '}', '\\]', '를', '만족', '시킬', '때', ',', 'a', '{', '3', '}', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,수열
4,1,하,3,0.9,0.9,0.03,0.03,0.02,0.01,확률과통계,2025-05-08,학력평가,"4. 함수 \( y=f(x) \) 의 그래프가 그림과 같다.
\( \lim _{x \rightarrow-1^{-}} f(x)+\lim _{x \rightarrow 0^{+}} f(x) \) 의 값은? [3점]
(1) -1
(2) 0
(3) 1
(4) 2
(5) 3","4. 함수 \( y=f(x) \) 의 그래프가 그림과 같다.
\( \lim _{x \rightarrow-1^{-}} f(x)+\lim _{x \rightarrow 0^{+}} f(x) \) 의 값은? [3점]","['4', '.', '함수', 'y', '=', 'f', '(', 'x', ')', '의', '그래프', '가', '그림', '과', '같', '다', '.', '\\lim', '{', 'x', '\\rightarrow', '-', '1', '^', '{', '-', '}', '}', 'f', '(', 'x', ')', '+', '\\lim', '{', 'x', '\\rightarrow', '0', '^', '{', '+', '}', '}', 'f', '(', 'x', ')', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,함수의 극한과 연속
5,4,하,3,0.92,0.01,0.02,0.03,0.92,0.02,확률과통계,2025-05-08,학력평가,"5. 함수 \( f(x)=(2 x+1)\left(x^{2}-2 x+5\right) \) 에 대하여 \( f^{\prime}(2) \) 의 값은?
[3점]
(1) 8
(2) 12
(3) 16
(4) 20
(5) 24","5. 함수 \( f(x)=(2 x+1)\left(x^{2}-2 x+5\right) \) 에 대하여 \( f^{\prime}(2) \) 의 값은?
[3점]","['5', '.', '함수', 'f', '(', 'x', ')', '=', '(', '2', 'x', '+', '1', ')', '\\left', '(', 'x', '^', '{', '2', '}', '-', '2', 'x', '+', '5', '\\right', ')', '에', '대하', '여', 'f', '^', '{', '\\prime', '}', '(', '2', ')', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,미분법
6,5,중,3,0.74,0.09,0.07,0.04,0.06,0.74,확률과통계,2025-05-08,학력평가,"6. \( \frac{3}{2} \pi<\theta<2 \pi \) 인 \( \theta \) 에 대하여 \( \sin \theta \tan \theta+\cos \theta=3 \) 일 때, \( \sin \theta-\tan \theta \) 의 값은? [3점]
(1) \( -\frac{4 \sqrt{2}}{3} \)
(2) \( -\frac{2 \sqrt{2}}{3} \)
(3) 0
(4) \( \frac{2 \sqrt{2}}{3} \)
(5) \( \frac{4 \sqrt{2}}{3} \)","6. \( \frac{3}{2} \pi<\theta<2 \pi \) 인 \( \theta \) 에 대하여 \( \sin \theta \tan \theta+\cos \theta=3 \) 일 때, \( \sin \theta-\tan \theta \) 의 값은? [3점]","['6', '.', '\\frac', '{', '3', '}', '{', '2', '}', '\\pi', '\\theta', '2', '\\pi', '인', '\\theta', '에', '대하', '여', '\\sin', '\\theta', '\\tan', '\\theta', '+', '\\cos', '\\theta', '=', '3', '일', '때', ',', '\\sin', '\\theta', '-', '\\tan', '\\theta', '의', '값', '은', '?', '[', '3', '점', ']']",True,객관식,삼각함수
7,2,중,3,0.78,0.04,0.78,0.09,0.06,0.02,확률과통계,2025-05-08,학력평가,"7. 다항함수 \( f(x) \) 가
\[
f^{\prime}(x)=x^{2}-k x+k-1, \quad f(0)=2
\]

를 만족시킨다. 함수 \( f(x) \) 가 극값을 갖지 않을 때, \( f(3) \) 의 값은? (단, \( k \) 는 상수이다.) [3점]
(1) 2
(2) 5
(3) 8
(4) 11
(5) 14","7. 다항함수 \( f(x) \) 가
\[
f^{\prime}(x)=x^{2}-k x+k-1, \quad f(0)=2
\]

를 만족시킨다. 함수 \( f(x) \) 가 극값을 갖지 않을 때, \( f(3) \) 의 값은? (단, \( k \) 는 상수이다.) [3점]","['7', '.', '다항', '함수', 'f', '(', 'x', ')', '가', '\\[', 'f', '^{\\', 'prime', '}(', 'x', ')', '=', 'x', '^{', '2', '}-', 'k', 'x', '+', 'k', '-', '1', ',', '\\', 'quad', 'f', '(', '0', ')', '=', '2', '\\]', '를', '만족', '시킨다', '.', '함수', 'f', '(', 'x', ')', '가', '극값', '을', '갖', '지', '않', '을', '때', ',', 'f', '(', '3', ')', '의', '값', '은', '?', '(', '단', ',', 'k', '는', '상수', '이', '다', '.', ')', '[', '3', '점', ']']",True,객관식,적분법
8,1,중하,3,0.81,0.81,0.04,0.07,0.05,0.02,확률과통계,2025-05-08,학력평가,"8. 부등식 \( 2^{|x|}+\frac{64}{2^{|x|}} \leq 20 \) 을 만족시키는 정수 \( x \) 의 개수는? [3점]
(1) 6
(2) 7
(3) 8
(4) 9
(5) 10",8. 부등식 \( 2^{|x|}+\frac{64}{2^{|x|}} \leq 20 \) 을 만족시키는 정수 \( x \) 의 개수는? [3점],"['8', '.', '부등식', '2', '^', '{', 'x', '}', '+', '\\frac', '{', '64', '}', '{', '2', '^', '{', 'x', '}', '}', '\\leq', '20', '을', '만족', '시키', '는', '정수', 'x', '의', '개수', '는', '?', '[', '3', '점', ']']",True,객관식,지수함수와 로그함수
9,4,중,4,0.7,0.02,0.1,0.14,0.7,0.04,확률과통계,2025-05-08,학력평가,"9. 다항함수 \( f(x) \) 가 모든 실수 \( x \) 에 대하여
\[
x f(x)=a x^{3}+2 x-3+\int_{0}^{1} f^{\prime}(t) d t
\]

를 만족시킬 때, \( \int_{0}^{2} f(x) d x \) 의 값은? (단, \( a \) 는 상수이다.) [4점]
(1) 3
(2) 6
(3) 9
(4) 12
(5) 15","9. 다항함수 \( f(x) \) 가 모든 실수 \( x \) 에 대하여
\[
x f(x)=a x^{3}+2 x-3+\int_{0}^{1} f^{\prime}(t) d t
\]

를 만족시킬 때, \( \int_{0}^{2} f(x) d x \) 의 값은? (단, \( a \) 는 상수이다.) [4점]","['9', '.', '다항', '함수', 'f', '(', 'x', ')', '가', '모든', '실수', 'x', '에', '대하', '여', '\\[', 'x', 'f', '(', 'x', ')', '=', 'a', 'x', '^{', '3', '}+', '2', 'x', '-', '3', '+\\', 'int', '_{', '0', '}^{', '1', '}', 'f', '^{\\', 'prime', '}(', 't', ')', 'd', 't', '\\]', '를', '만족', '시킬', '때', ',', '\\int', '{', '0', '}', '^', '{', '2', '}', 'f', '(', 'x', ')', 'd', 'x', '의', '값', '은', '?', '(', '단', ',', 'a', '는', '상수', '이', '다', '.', ')', '[', '4', '점', ']']",True,객관식,적분법
10,3,중,4,0.62,0.03,0.15,0.62,0.12,0.08,확률과통계,2025-05-08,학력평가,"10. 모든 항이 자연수이고 공차가 같은 두 등차수열 \( \left\{a_{n}\right\},\left\{b_{n}\right\} \) 이 모든 자연수 \( n \) 에 대하여
\[
\sum_{k=1}^{n} \frac{1}{a_{k} \times b_{k}}=\frac{n}{8 n+4}
\]

을 만족시킬 때, \( \sum_{k=1}^{5}\left(a_{k}+b_{k}\right) \) 의 값은? [4점]
(1) 100
(2) 110
(3) 120
(4) 130
(5) 140","10. 모든 항이 자연수이고 공차가 같은 두 등차수열 \( \left\{a_{n}\right\},\left\{b_{n}\right\} \) 이 모든 자연수 \( n \) 에 대하여
\[
\sum_{k=1}^{n} \frac{1}{a_{k} \times b_{k}}=\frac{n}{8 n+4}
\]

을 만족시킬 때, \( \sum_{k=1}^{5}\left(a_{k}+b_{k}\right) \) 의 값은? [4점]","['10', '.', '모든', '항이', '자연수', '이', '고', '공차', '가', '같', '은', '두', '등차수열', '\\left', '{', 'a', '{', 'n', '}', '\\right', '}', '\\left', '{', 'b', '{', 'n', '}', '\\right', '}', '이', '모든', '자연수', 'n', '에', '대하', '여', '\\[', '\\', 'sum', '_{', 'k', '=', '1', '}^{', 'n', '}', '\\', 'frac', '{', '1', '}{', 'a', '_{', 'k', '}', '\\', 'times', 'b', '_{', 'k', '}}=\\', 'frac', '{', 'n', '}{', '8', 'n', '+', '4', '}', '\\]', '을', '만족', '시킬', '때', ',', '\\sum', '{', 'k', '=', '1', '}', '^', '{', '5', '}', '\\left', '(', 'a', '{', 'k', '}', '+', 'b', '{', 'k', '}', '\\right', ')', '의', '값', '은', '?', '[', '4', '점', ']']",True,객관식,수열
